server_bandwidth_Bps,server_bandwidth_GiB_s,client_bandwidth_Bps,client_bandwidth_GiB_s,run,backend,kernel,mtu,read_bytes,duration,num_sockets,num_workers,num_ssds,request_size,stripe_size,reg_ring,reg_fds,reg_bufs,napi,send_zc,pin_queues,server,client
27408223895,25.5259,28346038645,26.3993,0,epoll_libaio,6.15.0-rc7,9000,,30000,32,16,8,131072,131072,False,False,False,False,False,False,fn01,fn03
47772507591,44.4916,49438587507,46.0433,0,epoll_libaio,6.15.0-rc7,9000,,30000,32,32,8,131072,131072,False,False,False,False,False,False,fn01,fn03
47514876842,44.2517,49258667600,45.8757,0,epoll_libaio,6.15.0-rc7,9000,,30000,32,64,8,131072,131072,False,False,False,False,False,False,fn01,fn03
4339955070,4.0419,4345534675,4.04709,0,io_uring,6.15.0-rc7,9000,,30000,32,1,8,131072,131072,True,True,True,False,False,False,fn01,fn03
5505529883,5.12742,5511614931,5.13309,0,io_uring,6.15.0-rc7,9000,,30000,32,1,8,524288,524288,True,True,True,False,False,False,fn01,fn03
8216315767,7.65204,8222785177,7.65807,0,io_uring,6.15.0-rc7,9000,,30000,32,2,8,131072,131072,True,True,True,False,False,False,fn01,fn03
10213698547,9.51225,10225526953,9.52326,0,io_uring,6.15.0-rc7,9000,,30000,32,2,8,524288,524288,True,True,True,False,False,False,fn01,fn03
12996972121,12.1044,13004224144,12.1111,0,io_uring,6.15.0-rc7,9000,,30000,32,4,8,131072,131072,True,True,True,False,False,False,fn01,fn03
14991895376,13.9623,15004420471,13.974,0,io_uring,6.15.0-rc7,9000,,30000,32,4,8,524288,524288,True,True,True,False,False,False,fn01,fn03
19038691167,17.7312,19054478892,17.7459,0,io_uring,6.15.0-rc7,9000,,30000,32,8,8,131072,131072,True,True,True,False,False,False,fn01,fn03
21044167351,19.5989,21060889429,19.6145,0,io_uring,6.15.0-rc7,9000,,30000,32,8,8,524288,524288,True,True,True,False,False,False,fn01,fn03
30066625038,28.0017,30087846533,28.0215,0,io_uring,6.15.0-rc7,9000,,30000,32,16,8,131072,131072,True,True,True,False,False,False,fn01,fn03
33646970266,31.3362,33693477771,31.3795,0,io_uring,6.15.0-rc7,9000,,30000,32,16,8,524288,524288,True,True,True,False,False,False,fn01,fn03
49353643050,45.9642,49432579405,46.0377,0,io_uring,6.15.0-rc7,9000,,30000,32,32,8,131072,131072,True,True,True,False,False,False,fn01,fn03
49346375559,45.9574,49443721685,46.0481,0,io_uring,6.15.0-rc7,9000,,30000,32,32,8,524288,524288,True,True,True,False,False,False,fn01,fn03
43182725490,40.217,43266539934,40.2951,0,io_uring,6.15.0-rc7,9000,,30000,32,64,8,131072,131072,True,True,True,False,False,False,fn01,fn03
49265480717,45.8821,49429780560,46.0351,0,io_uring,6.15.0-rc7,9000,,30000,32,64,8,524288,524288,True,True,True,False,False,False,fn01,fn03
5053140339,4.7061,5060080361,4.71257,0,io_uring,6.15.0-rc7,9000,,30000,32,1,8,131072,131072,True,True,True,False,True,False,fn01,fn03
6303893261,5.87096,6310735220,5.87733,0,io_uring,6.15.0-rc7,9000,,30000,32,1,8,524288,524288,True,True,True,False,True,False,fn01,fn03
9887465038,9.20842,9900606319,9.22066,0,io_uring,6.15.0-rc7,9000,,30000,32,2,8,131072,131072,True,True,True,False,True,False,fn01,fn03
11393334769,10.6109,11401125156,10.6181,0,io_uring,6.15.0-rc7,9000,,30000,32,2,8,524288,524288,True,True,True,False,True,False,fn01,fn03
18091040013,16.8486,18116545486,16.8723,0,io_uring,6.15.0-rc7,9000,,30000,32,4,8,131072,131072,True,True,True,False,True,False,fn01,fn03
21787011377,20.2907,21813726482,20.3156,0,io_uring,6.15.0-rc7,9000,,30000,32,4,8,524288,524288,True,True,True,False,True,False,fn01,fn03
31696956223,29.5201,31742068237,29.5621,0,io_uring,6.15.0-rc7,9000,,30000,32,8,8,131072,131072,True,True,True,False,True,False,fn01,fn03
35549223646,33.1078,35580502440,33.1369,0,io_uring,6.15.0-rc7,9000,,30000,32,8,8,524288,524288,True,True,True,False,True,False,fn01,fn03
49401920778,46.0091,49464299692,46.0672,0,io_uring,6.15.0-rc7,9000,,30000,32,16,8,131072,131072,True,True,True,False,True,False,fn01,fn03
49391999530,45.9999,49468546322,46.0712,0,io_uring,6.15.0-rc7,9000,,30000,32,16,8,524288,524288,True,True,True,False,True,False,fn01,fn03
49355109423,45.9655,49462572744,46.0656,0,io_uring,6.15.0-rc7,9000,,30000,32,32,8,131072,131072,True,True,True,False,True,False,fn01,fn03
49341735601,45.9531,49466631285,46.0694,0,io_uring,6.15.0-rc7,9000,,30000,32,32,8,524288,524288,True,True,True,False,True,False,fn01,fn03
49373358761,45.9825,49484759449,46.0863,0,io_uring,6.15.0-rc7,9000,,30000,32,64,8,131072,131072,True,True,True,False,True,False,fn01,fn03
49226588459,45.8458,49418760689,46.0248,0,io_uring,6.15.0-rc7,9000,,30000,32,64,8,524288,524288,True,True,True,False,True,False,fn01,fn03
457993735,0.42654,458000203,0.426546,0,io_uring,6.15.0-rc7,9100,,30000,32,1,8,4096,4096,False,False,False,False,False,False,fn01,fn03
1437648744,1.33891,1437666776,1.33893,0,io_uring,6.15.0-rc7,9100,,30000,32,1,8,16384,16384,False,False,False,False,False,False,fn01,fn03
3064805126,2.85432,3064844039,2.85436,0,io_uring,6.15.0-rc7,9100,,30000,32,1,8,65536,65536,False,False,False,False,False,False,fn01,fn03
