tag,method,iodirect,ms
large_2w_16io_mode5,io_uring,data+wal,13049.742
large_2w_16io_mode5,io_uring,data+wal,12953.857
large_2w_16io_mode6,io_uring,data+wal,13138.961
large_2w_16io_mode6,io_uring,data+wal,12968.687
large_2w_16io_mode6,io_uring,data+wal,12999.820
large_2w_16io_mode6,io_uring,data+wal,13300.912
large_2w_16io_mode6,io_uring,data+wal,12940.009
large_2w_16io_mode6,io_uring,data+wal,12985.134
large_2w_16io_mode6,io_uring,data+wal,13007.017
large_2w_16io_mode6,io_uring,data+wal,12955.522
large_2w_16io_mode6,io_uring,data+wal,12992.440
large_2w_16io_mode6,io_uring,data+wal,13066.367
large_2w_16io_mode7,io_uring,data+wal,13879.538
large_2w_16io_mode7,io_uring,data+wal,14011.421
large_2w_16io_mode7,io_uring,data+wal,14340.200
large_2w_16io_mode7,io_uring,data+wal,14070.492
large_2w_16io_mode7,io_uring,data+wal,13894.313
large_2w_16io_mode7,io_uring,data+wal,14071.438
large_2w_16io_mode7,io_uring,data+wal,14061.197
large_2w_16io_mode7,io_uring,data+wal,13961.333
large_2w_16io_mode7,io_uring,data+wal,14121.712
large_2w_16io_mode7,io_uring,data+wal,13985.636
large_4w_16io_mode0,io_uring,data+wal,7736.709
large_4w_16io_mode0,io_uring,data+wal,7842.420
large_4w_16io_mode0,io_uring,data+wal,7970.801
large_4w_16io_mode0,io_uring,data+wal,7693.407
large_4w_16io_mode0,io_uring,data+wal,7741.290
large_4w_16io_mode0,io_uring,data+wal,7807.413
large_4w_16io_mode0,io_uring,data+wal,7803.899
large_4w_16io_mode0,io_uring,data+wal,7761.610
large_4w_16io_mode0,io_uring,data+wal,7768.030
large_4w_16io_mode0,io_uring,data+wal,7770.283
large_4w_16io_mode1,io_uring,data+wal,7831.509
large_4w_16io_mode1,io_uring,data+wal,7685.856
large_4w_16io_mode1,io_uring,data+wal,7706.667
large_4w_16io_mode1,io_uring,data+wal,7645.136
large_4w_16io_mode1,io_uring,data+wal,7797.352
large_4w_16io_mode1,io_uring,data+wal,7826.593
large_4w_16io_mode1,io_uring,data+wal,7707.625
large_4w_16io_mode1,io_uring,data+wal,7820.034
large_4w_16io_mode1,io_uring,data+wal,7810.354
large_4w_16io_mode1,io_uring,data+wal,7727.758
large_4w_16io_mode2,io_uring,data+wal,7495.893
large_4w_16io_mode2,io_uring,data+wal,7720.566
large_4w_16io_mode2,io_uring,data+wal,7493.099
large_4w_16io_mode2,io_uring,data+wal,7357.546
large_4w_16io_mode2,io_uring,data+wal,7323.573
large_4w_16io_mode2,io_uring,data+wal,7371.846
large_4w_16io_mode2,io_uring,data+wal,7308.230
large_4w_16io_mode2,io_uring,data+wal,7275.441
large_4w_16io_mode2,io_uring,data+wal,7409.463
large_4w_16io_mode2,io_uring,data+wal,7440.476
large_4w_16io_mode3,io_uring,data+wal,7276.912
large_4w_16io_mode3,io_uring,data+wal,7326.280
large_4w_16io_mode3,io_uring,data+wal,7340.985
large_4w_16io_mode3,io_uring,data+wal,7449.004
large_4w_16io_mode3,io_uring,data+wal,7449.026
large_4w_16io_mode3,io_uring,data+wal,7293.124
large_4w_16io_mode3,io_uring,data+wal,7300.037
